* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
11166.799182	103.760743
11247.718413	103.838061
11329.224017	103.883395
11411.320244	103.856684
11494.011375	103.810218
11577.301719	103.713941
11661.195620	103.577943
11745.697450	103.398803
11830.811616	103.143377
11916.542554	102.871369
12002.894734	102.596209
12089.872657	102.241103
12177.480858	101.866522
12265.723904	101.458528
12354.606395	101.050527
12444.132966	100.599378
12534.308283	100.191363
12625.137048	99.783382
12716.623996	99.375399
12808.773895	99.010549
12901.591551	98.645692
12995.081802	98.313189
13089.249521	97.998041
13184.099619	97.726040
13279.637040	97.419865
13375.866764	97.182062
13472.793808	96.953207
13570.423226	96.753028
13668.760107	96.617025
13767.809577	96.523514
13867.576801	96.495982
13968.066979	96.493431
14069.285350	96.532066
14171.237191	96.634146
14273.927818	96.727007
14377.362583	96.863010
14481.546879	96.999012
14586.486137	97.178146
14692.185828	97.357282
14798.651463	97.493279
14905.888592	97.672420
15013.902806	97.808422
15122.699734	97.987567
15232.285051	98.123564
15342.664467	98.254018
15453.843739	98.311859
15565.828661	98.357192
15678.625072	98.353299
15792.238852	98.294515
15906.675925	98.226534
16021.942256	98.111677
16138.043854	97.975682
16254.986772	97.839685
16372.777107	97.703685
16491.420999	97.567683
16610.924634	97.431682
16731.294241	97.252540
16852.536096	97.063119
16974.656520	96.791127
17097.661878	96.519130
17221.558584	96.173972
17346.353097	95.845701
17472.051922	95.487370
17598.661613	95.122533
17726.188769	94.757689
17854.640040	94.329940
17984.022122	93.872224
18114.341760	93.404273
18245.605748	92.870483
18377.820928	92.326485
18510.994194	91.773005
18645.132489	91.179307
18780.242805	90.542457
18916.332186	89.905596
19053.407727	89.261398
19191.476573	88.631097
19330.545924	87.871541
19470.623028	87.105309
19611.715189	86.562761
19753.829761	86.427955
19896.974155	86.427955
20041.155832	86.427955
